Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,126.772499,127.000000,125.436996,126.018501,126.018501,20950000
2021-06-30,125.653549,125.800003,124.757500,125.316002,125.316002,24006000
2021-07-01,124.849747,126.462502,124.849747,126.368500,126.368500,17120000
2021-07-02,126.839500,128.848007,126.768997,128.718994,128.718994,21160000
2021-07-06,129.449493,129.884506,128.408997,129.770996,129.770996,21350000
2021-07-07,130.341003,130.639893,129.759995,130.077499,130.077499,16680000
2021-07-08,128.250000,130.032501,128.039993,129.177002,129.177002,19780000
2021-07-09,128.944504,129.849503,128.943497,129.574493,129.574493,15106000
2021-07-12,129.833496,130.770004,129.600006,130.563995,130.563995,16944000
2021-07-13,130.881500,132.042007,130.636993,130.994507,130.994507,16618000
2021-07-14,131.901505,132.996002,131.897995,132.082504,132.082504,17912000
2021-07-15,132.500000,132.595001,130.598007,131.266495,131.266495,16586000
2021-07-16,131.641006,132.182999,130.821503,131.845505,131.845505,14856000
2021-07-19,131.155502,131.246994,128.537003,129.253998,129.253998,25710000
2021-07-20,130.003998,132.001343,129.188400,131.101501,131.101501,19084000
2021-07-21,130.787003,132.617249,130.601501,132.600494,132.600494,14742000
2021-07-22,132.649994,133.504501,132.399994,133.328506,133.328506,13608000
2021-07-23,135.259995,138.808502,134.700500,137.815994,137.815994,26378000
2021-07-26,138.250000,139.712997,137.651001,139.644501,139.644501,23052000
2021-07-27,140.011002,140.011002,135.100006,136.796494,136.796494,42164000
2021-07-28,138.561996,139.675995,136.350006,136.381500,136.381500,54688000
2021-07-29,136.380600,137.151505,136.138000,136.540497,136.540497,19284000
2021-07-30,135.511002,135.771347,134.814194,135.220993,135.220993,23954000
2021-08-02,135.484497,136.020493,134.669495,135.989502,135.989502,20140000
2021-08-03,136.000000,136.335495,134.183502,136.279999,136.279999,19064000
2021-08-04,136.249496,136.537994,135.414993,136.028503,136.028503,16528000
2021-08-05,136.028503,136.949997,135.600006,136.940002,136.940002,11866000
2021-08-06,136.294998,137.080048,136.046494,137.035995,137.035995,13560000
2021-08-09,136.949005,138.321503,136.428757,138.001999,138.001999,12374000
2021-08-10,138.079498,138.551498,137.226501,138.096497,138.096497,16034000
2021-08-11,138.283005,138.847748,137.350006,137.689499,137.689499,15204000
2021-08-12,137.712997,138.417999,136.779007,138.389496,138.389496,14646000
2021-08-13,138.357498,138.673996,138.005005,138.406006,138.406006,12580000
2021-08-16,138.000000,138.990494,136.165756,138.916000,138.916000,18040000
2021-08-17,138.190994,138.718506,136.787506,137.300507,137.300507,21272000
2021-08-18,137.115494,138.294006,136.421005,136.570007,136.570007,14934000
2021-08-19,135.467499,137.451996,135.356003,136.913498,136.913498,18296000
2021-08-20,137.082993,138.614502,136.466995,138.436996,138.436996,15564000
2021-08-23,138.998505,142.177002,138.747955,141.099503,141.099503,21090000
2021-08-24,141.543503,143.007507,141.353500,142.398499,142.398499,15126000
2021-08-25,142.882996,143.313004,142.439499,142.949997,142.949997,12838000
2021-08-26,142.618500,143.134796,142.091507,142.123001,142.123001,14922000
2021-08-27,142.112503,145.011002,142.020004,144.550507,144.550507,24562000
2021-08-30,144.704498,146.489502,144.600006,145.469498,145.469498,16916000
2021-08-31,145.884506,146.112000,145.000000,145.462006,145.462006,26756000
2021-09-01,145.649994,146.820496,145.614502,145.841995,145.841995,15824000
2021-09-02,145.949493,146.324997,144.106506,144.218994,144.218994,21844000
2021-09-03,144.145996,145.376999,143.505005,144.774994,144.774994,19104000
2021-09-07,144.749496,145.824005,144.541000,145.518997,145.518997,15170000
2021-09-08,145.393494,145.550995,144.199997,144.883499,144.883499,15486000
2021-09-09,144.883499,145.669495,144.434006,144.913498,144.913498,14798000
2021-09-10,145.443497,146.018997,141.741501,141.921005,141.921005,32896000
2021-09-13,143.201004,144.190994,142.282501,143.464996,143.464996,20176000
2021-09-14,144.160995,144.727493,142.905502,143.406006,143.406006,18916000
2021-09-15,143.759003,145.581497,142.255997,145.205994,145.205994,20648000
2021-09-16,145.121002,145.199997,143.416351,144.373505,144.373505,20292000
2021-09-17,143.798492,144.249496,141.061493,141.463501,141.463501,60040000
2021-09-20,139.000198,139.362503,137.052994,139.016998,139.016998,34918000
2021-09-21,140.117004,140.811600,138.905502,139.646500,139.646500,18130000
2021-09-22,140.050507,141.583496,139.471756,140.938507,140.938507,22068000
2021-09-23,141.609497,142.252457,141.096497,141.826508,141.826508,17272000
2021-09-24,140.945999,142.903503,140.850494,142.632996,142.632996,14950000
2021-09-27,141.585495,142.500000,140.500000,141.501007,141.501007,18844000
2021-09-28,139.088501,139.606506,135.699997,136.184006,136.184006,42190000
2021-09-29,137.109695,137.398499,134.250000,134.520996,134.520996,26338000
2021-09-30,134.324997,135.589996,133.000000,133.265503,133.265503,35294000
2021-10-01,133.554504,137.070999,133.377502,136.462494,136.462494,28388000
2021-10-04,135.699493,135.699997,131.166504,133.764999,133.764999,31530000
2021-10-05,134.000000,137.362000,134.000000,136.177002,136.177002,24126000
2021-10-06,134.625504,137.852005,134.486496,137.354004,137.354004,19764000
2021-10-07,138.863007,140.154449,138.563004,139.185501,139.185501,18250000
2021-10-08,139.906006,140.317001,139.429352,140.056000,140.056000,18924000
2021-10-11,139.800003,140.763657,138.806503,138.847504,138.847504,16584000
2021-10-12,139.637497,139.695007,136.250000,136.712997,136.712997,22536000
2021-10-13,137.750000,138.550003,136.976501,137.899994,137.899994,16380000
2021-10-14,139.951996,141.651505,139.339005,141.412003,141.412003,21426000
2021-10-15,142.199997,142.199997,141.064499,141.675003,141.675003,21250000
2021-10-18,141.213501,142.998749,141.213501,142.960495,142.960495,16564000
2021-10-19,143.291504,144.106995,143.095993,143.822006,143.822006,15316000
2021-10-20,144.222504,144.247757,141.912003,142.414993,142.414993,17940000
2021-10-21,142.192001,142.849503,141.636993,142.780502,142.780502,14850000
2021-10-22,140.350998,141.558502,137.170502,138.625000,138.625000,30182000
2021-10-25,138.810501,139.205795,136.748505,138.772995,138.772995,21082000
2021-10-26,140.606003,140.839493,139.005493,139.671997,139.671997,28258000
2021-10-27,139.902496,149.117996,139.902496,146.427505,146.427505,51850000
2021-10-28,147.298996,147.424500,144.763504,146.128998,146.128998,32418000
2021-10-29,145.520004,148.613007,145.166504,148.270493,148.270493,28954000
2021-11-01,148.164993,148.399506,143.579498,143.774002,143.774002,32272000
2021-11-02,144.809402,146.920502,144.641006,145.863007,145.863007,21150000
2021-11-03,146.274994,146.910507,145.053497,146.789993,146.789993,17886000
2021-11-04,147.199997,149.949997,146.634995,148.682999,148.682999,24700000
2021-11-05,149.353500,150.570755,148.651993,149.240997,149.240997,20408000
2021-11-08,150.000000,151.034500,149.119995,149.351501,149.351501,18388000
2021-11-09,149.746002,150.378494,147.507004,149.248505,149.248505,16876000
2021-11-10,148.009750,148.699997,145.324997,146.626007,146.626007,22708000
2021-11-11,147.106995,148.502243,146.694504,146.748001,146.748001,12464000
2021-11-12,147.831497,149.859497,146.453995,149.645493,149.645493,17048000
2021-11-15,150.000000,150.477005,148.652496,149.388000,149.388000,16248000
2021-11-16,149.170502,149.832504,148.350006,149.076004,149.076004,17254000
2021-11-17,149.229004,149.626007,148.563004,149.061996,149.061996,15290000
2021-11-18,149.145996,151.610001,148.998505,150.709000,150.709000,26658000
2021-11-19,151.000000,151.850006,149.887497,149.952499,149.952499,19766000
2021-11-22,150.141754,150.744507,147.005493,147.078506,147.078506,24608000
2021-11-23,147.113007,147.694000,144.889496,146.757004,146.757004,18126000
2021-11-24,146.350006,147.000000,145.199005,146.717499,146.717499,16464000
2021-11-26,145.015503,145.296997,142.485504,142.806000,142.806000,16992000
2021-11-29,144.298492,146.862000,144.298492,146.113998,146.113998,26276000
2021-11-30,145.450256,146.628494,142.065994,142.451996,142.451996,41590000
2021-12-01,144.212494,146.499146,141.500000,141.617996,141.617996,28476000
2021-12-02,141.824005,144.675003,140.981995,143.776505,143.776505,21250000
2021-12-03,144.495499,145.212997,141.149994,142.520493,142.520493,26688000
2021-12-06,143.574005,144.351501,140.647003,143.796494,143.796494,22198000
2021-12-07,145.949997,148.300003,145.702499,148.036499,148.036499,23258000
2021-12-08,148.331497,149.156494,147.199997,148.720505,148.720505,18964000
2021-12-09,148.175995,149.604996,147.529007,148.106003,148.106003,18580000
2021-12-10,149.100006,149.399994,147.357498,148.675003,148.675003,21634000
2021-12-13,148.444000,148.562500,146.360001,146.704498,146.704498,24104000
2021-12-14,144.770004,145.442001,142.242493,144.970505,144.970505,24778000
2021-12-15,144.365997,147.517242,142.705505,147.368500,147.368500,27280000
2021-12-16,148.076996,148.551498,144.092499,144.838501,144.838501,27400000
2021-12-17,142.714493,144.460098,141.787994,142.802994,142.802994,43404000
2021-12-20,140.679596,142.610504,140.250000,142.401505,142.401505,20264000
2021-12-21,143.149994,144.692047,141.735001,144.220505,144.220505,19548000
2021-12-22,144.100006,147.302994,143.962997,146.949005,146.949005,18438000
2021-12-23,147.089493,148.572601,146.950851,147.142502,147.142502,13818000
2021-12-27,147.463501,148.426498,147.250000,148.063995,148.063995,13256000
2021-12-28,148.374496,148.374496,145.935501,146.447998,146.447998,18624000
2021-12-29,146.429504,147.183746,145.504501,146.504501,146.504501,17022000
2021-12-30,146.449997,147.062500,145.758499,146.002502,146.002502,12978000
